Label,X,Y,Z,info_1,info_2,info_3,info_4,info_5
United States,86519,34514,15247,United States1,865191,345141,152471,United States11
China,38918,82900,92011,China1,389181,829001,920111,China11
Germany,73275,89674,43758,Germany1,732751,896741,437581,Germany11
Japan,14429,80649,37521,Japan1,144291,806491,375211,Japan11
India,68899,65351,68889,India1,688991,653511,688891,India11
United Kingdom,88684,69593,87474,United Kingdom1,886841,695931,874741,United Kingdom11
France,58071,29817,73743,France1,580711,298171,737431,France11
Italy,74813,17510,21339,Italy1,748131,175101,213391,Italy11
Canada,68121,36101,35388,Canada1,681211,361011,353881,Canada11
Brazil,94294,15126,41629,Brazil1,942941,151261,416291,Brazil11
Russia,46260,63648,76164,Russia1,462601,636481,761641,Russia11
South Korea,94501,58741,69199,South Korea1,945011,587411,691991,South Korea11
Mexico,81625,44705,84668,Mexico1,816251,447051,846681,Mexico11
Australia,73023,10774,41752,Australia1,730231,107741,417521,Australia11
Spain,56691,58855,72842,Spain1,566911,588551,728421,Spain11
Indonesia,70922,70661,40210,Indonesia1,709221,706611,402101,Indonesia11
Turkey,15369,61440,14538,Turkey1,153691,614401,145381,Turkey11
Netherlands,88689,27516,34166,Netherlands1,886891,275161,341661,Netherlands11
Saudi Arabia,38511,43613,27952,Saudi Arabia1,385111,436131,279521,Saudi Arabia11
Switzerland,50297,84104,13195,Switzerland1,502971,841041,131951,Switzerland11
Poland,30292,36659,90021,Poland1,302921,366591,900211,Poland11
Belgium,58457,43561,31250,Belgium1,584571,435611,312501,Belgium11
Sweden,12552,85223,74352,Sweden1,125521,852231,743521,Sweden11
Argentina,88653,52826,71880,Argentina1,886531,528261,718801,Argentina11
Ireland,76431,40573,25059,Ireland1,764311,405731,250591,Ireland11
United Arab Emirates,98235,10888,40012,United Arab Emirates1,982351,108881,400121,United Arab Emirates11
Austria,77184,69127,70209,Austria1,771841,691271,702091,Austria11
Singapore,97129,74177,63264,Singapore1,971291,741771,632641,Singapore11
Thailand,65630,74644,19077,Thailand1,656301,746441,190771,Thailand11
Israel,67604,83357,21153,Israel1,676041,833571,211531,Israel11
Norway,78127,77058,14329,Norway1,781271,770581,143291,Norway11
Philippines,85834,45345,72541,Philippines1,858341,453451,725411,Philippines11
